Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C)
01/01/1961;.1;24.9;21.22;18.5
02/01/1961;5;22.7;20.84;19.7
03/01/1961;44.9;28.5;21.7;17.8
04/01/1961;0;27.2;21.72;18.7
05/01/1961;7.5;25.8;21.3;18
06/01/1961;0;26.9;22.8;19.1
07/01/1961;6.4;22.2;19.58;18.7
08/01/1961;2.6;21.7;19.54;18
09/01/1961;0;25.9;21.5;18.9
10/01/1961;0;29.6;23.26;20
11/01/1961;4.2;25.7;21.28;19.2
12/01/1961;0;26.7;21.96;17.9
13/01/1961;0;29;22.88;19.2
14/01/1961;0;29;22.24;17.2
15/01/1961;10.1;29.7;22.8;17.6
16/01/1961;16.6;29.1;23.36;17.8
17/01/1961;0;29.9;23.96;19.8
18/01/1961;0;31.1;23.54;19.8
19/01/1961;89.4;28.6;21.92;18.4
20/01/1961;21.8;28.4;23.1;18.4
21/01/1961;0;30;23.26;19.1
22/01/1961;7;29.6;23.18;20
23/01/1961;7.6;26.3;21.84;19.7
24/01/1961;1.6;26.2;21.54;19.3
25/01/1961;0;26;21.34;19
26/01/1961;0;22.8;19.84;18.4
27/01/1961;6.6;18.8;16.84;15.6
28/01/1961;1.6;19.8;17.36;15.5
29/01/1961;6;24.6;20.08;16.9
30/01/1961;14.5;27.5;21.56;18.1
31/01/1961;.9;29.5;22.04;17.6
01/02/1961;0;30.8;22.48;18.8
02/02/1961;35.6;31.2;22.44;17.5
03/02/1961;40.8;30.2;23.02;18.9
04/02/1961;10.2;26.5;21.78;19.8
05/02/1961;6.9;27.5;21.64;18.5
06/02/1961;.1;29;22.88;20.5
07/02/1961;2;30.5;23.86;19.8
08/02/1961;.1;30;23.7;19
09/02/1961;.2;26.9;22.1;18.8
10/02/1961;12.2;27.7;22.48;19.5
11/02/1961;0;29.4;23.6;18.6
12/02/1961;9.6;24.4;20.8;19.1
13/02/1961;67.8;23.9;20.26;18.6
14/02/1961;0;24.3;19.64;16.2
15/02/1961;0;24.7;19.38;15
16/02/1961;0;22.9;19.68;17.5
17/02/1961;2.2;21.9;19.52;18.3
18/02/1961;29.5;23.5;20.7;17.6
19/02/1961;.2;25.2;21.18;18.4
20/02/1961;3.9;27.8;21.76;18.9
21/02/1961;55.7;28.7;21.8;17.5
22/02/1961;22.1;29.5;22.36;19.2
23/02/1961;24.2;23.6;21.04;19.1
24/02/1961;1.5;25.2;22.24;19
25/02/1961;0;28.1;23.5;19.8
26/02/1961;0;29.6;24.3;21.7
27/02/1961;0;27.4;23.22;21.7
28/02/1961;10.2;21.9;19.58;18.4
01/03/1961;39.1;19.7;18.02;17
02/03/1961;.2;22.6;17.7;15.7
03/03/1961;0;28.7;19.22;12.8
04/03/1961;0;29.4;20.12;12.4
05/03/1961;0;27.6;19.8;13.9
06/03/1961;0;22.2;19.54;18
07/03/1961;1.9;21.5;19.64;18.6
08/03/1961;5.7;26.4;21.44;18.7
09/03/1961;.4;28.2;22.68;19.9
10/03/1961;0;30.4;22.26;17.9
11/03/1961;0;31.3;23.88;19
12/03/1961;9;29.3;22.72;19.2
13/03/1961;0;29.7;23.12;18.9
14/03/1961;8.7;28.7;22.38;19.8
15/03/1961;4.9;27.8;21.8;18.7
16/03/1961;24.6;29.1;23.98;19
17/03/1961;0;29.2;22.58;19.3
18/03/1961;6.7;22.6;20.3;19.2
19/03/1961;3.3;22.2;19.38;18
20/03/1961;.4;26.8;21.62;18.7
21/03/1961;.6;28;22.46;19.3
22/03/1961;0;28.2;22.18;18.1
23/03/1961;0;29;22.68;19.8
24/03/1961;0;28;22.5;19.3
25/03/1961;0;29.9;23.54;18.1
26/03/1961;0;29;21.74;18.2
27/03/1961;42.3;18.8;16;14.8
28/03/1961;.1;20.2;15.88;13.8
29/03/1961;0;21.7;16.3;12.9
30/03/1961;0;20.8;16.14;12.1
31/03/1961;0;24.4;17.02;12.3
01/04/1961;0;26.6;19.4;12.9
02/04/1961;0;27.5;20.92;14.4
03/04/1961;0;26.8;22.24;17.3
04/04/1961;.6;23.1;20.24;17.2
05/04/1961;22.2;25.3;20.26;18.4
06/04/1961;6.7;23.7;19.36;17.5
07/04/1961;2;23.6;19.34;17.3
08/04/1961;0;29;21.48;15.8
09/04/1961;0;28.9;21.94;18.8
10/04/1961;0;26.2;21.38;18.6
11/04/1961;1.8;28.9;22.94;19.5
12/04/1961;0;29.4;23.52;18.1
13/04/1961;0;30.4;24.36;19.4
14/04/1961;0;26.6;22.04;20
15/04/1961;0;27.3;21.64;19
16/04/1961;0;28.4;22.42;19
17/04/1961;0;29;22.66;18.8
18/04/1961;0;28.5;22.7;17.5
19/04/1961;0;22.3;17.2;14.9
20/04/1961;0;19.3;16.26;14.4
21/04/1961;0;18.2;16.76;15.2
